,id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url,release_year
0,1136,Overwatch 2,https://www.mmobomb.com/g/1136/thumbnail.jpg,"Big changes come to the Overwatch formula in this sequel...and so does PvE content, eventually.",https://www.mmobomb.com/open/overwatch-2,Shooter,PC (Windows),Activision Blizzard King,Blizzard Entertainment,2022-10-04,https://www.mmobomb.com/overwatch-2,2022
1,523,Lost Ark,https://www.mmobomb.com/g/523/thumbnail.jpg,Journey throughout the realm of Arkesia and do battle against a demon invasion in Smilegate's free-to-play ARPG Lost Ark!,https://www.mmobomb.com/open/lost-ark,ARPG,PC (Windows),Amazon Games,Smilegate,2022-02-11,https://www.mmobomb.com/lost-ark,2022
2,1113,PUBG: BATTLEGROUNDS,https://www.mmobomb.com/g/1113/thumbnail.jpg,"Battle the odds in a 100v1 death match in PUBG: Battlegrounds, the classic free-to-play battle royale experience.",https://www.mmobomb.com/open/pubg,Shooter,PC (Windows),"KRAFTON, Inc.","KRAFTON, Inc.",2022-01-12,https://www.mmobomb.com/pubg,2022
3,508,Enlisted,https://www.mmobomb.com/g/508/thumbnail.jpg,"Step into the most famous battles of World War II in Enlisted, a free-to-play shooter from the makers of War Thunder. Experience squad-based combat from the ground level, as you command your troops, outfitted with era-authentic weapons and gear, in massive battles with over a hundred soldiers apiece.",https://www.mmobomb.com/open/enlisted,Shooter,PC (Windows),Gaijin Entertainment,Darkflow Software,2021-04-08,https://www.mmobomb.com/enlisted,2021
4,1120,Fall Guys,https://www.mmobomb.com/g/1120/thumbnail.jpg,Fall Guys is a free-to-play massively multiplayer party royale game.,https://www.mmobomb.com/open/fall-guys,Battle Royale,PC (Windows),Mediatonic,Mediatonic,2020-08-04,https://www.mmobomb.com/fall-guys,2020
5,340,Game Of Thrones Winter Is Coming,https://www.mmobomb.com/g/340/thumbnail.jpg,"Fame and glory await you in Westeros, in Game of Thrones: Winter Is Coming, the officially licensed free-to-play browser game based on the epic fantasy series by George R.R. Martin.",https://www.mmobomb.com/open/game-of-thrones-winter-is-coming,Strategy,Web Browser,GTArcade,YOOZOO Games ,2019-11-14,https://www.mmobomb.com/game-of-thrones-winter-is-coming,2019
6,380,Dark Orbit Reloaded,https://www.mmobomb.com/g/380/thumbnail.jpg,"Take part in huge intergalactic battles and take on the whole galaxy in DarkOrbit, the free-to-play browser-based space combat MMO from Bigpoint -- now in 3-D! Choose your faction and your ship, each with their own strengths, and take off into adventure!",https://www.mmobomb.com/open/darkorbit,Shooter,Web Browser,Bigpoint,Bigpoint,2006-12-11,https://www.mmobomb.com/darkorbit,2006
7,5,Crossout,https://www.mmobomb.com/g/5/thumbnail.jpg,"Trick out your ride and take to the post-apocalyptic roads for battle in Crossout, the free-to-play vehicular combat game from Gaijin Entertainment! Featuring a vehicle design system with endless customization and fast-paced, armor-crunching combat, Crossout offers high-octane excitement in brief and explosive matches.",https://www.mmobomb.com/open/crossout,Shooter,PC (Windows),Targem,Gaijin,2017-05-30,https://www.mmobomb.com/crossout,2017
8,347,Elvenar,https://www.mmobomb.com/g/347/thumbnail.jpg,"In InnoGames' Elvenar, you can build an epic fantasy city, populated by elves or humans, and watch it grow into a sprawling metropolis, awash in riches and brimming with military might. The elves have powerful magic at their disposal, while humans are well-versed in the arts of war.",https://www.mmobomb.com/open/elvenar,Strategy,Web Browser,InnoGames,InnoGames,2015-04-08,https://www.mmobomb.com/elvenar,2015
9,11,Neverwinter,https://www.mmobomb.com/g/11/thumbnail.jpg,Neverwinter is an action MMORPG based on the acclaimed Dungeons and Dragons universe. In Neverwinter you take on the role as a mighty hero who must set out to protect the lands of Neverwinter from those who conspire to see it destroyed.,https://www.mmobomb.com/open/neverwinter,MMORPG,PC (Windows),Perfect World Entertainment,Cryptic Studios,2013-12-06,https://www.mmobomb.com/neverwinter,2013
10,345,Forge of Empires,https://www.mmobomb.com/g/345/thumbnail.jpg,Forge of Empires is a browser-based MMORTS by InnoGames. Relive history as you rule over your empire through the stages of early human civilizations.,https://www.mmobomb.com/open/forge-of-empires,Strategy,Web Browser,InnoGames,InnoGames,2012-04-17,https://www.mmobomb.com/forge-of-empires,2012
11,2,World of Tanks,https://www.mmobomb.com/g/2/thumbnail.jpg,"World of Tanks is a team-based free MMO action game exclusively focused on the armored warfare in the mid-20th century. Created by the strategy masterminds at Wargaming.net, this is a shooter with a lot of tactical elements to be taken into consideration.",https://www.mmobomb.com/open/world-of-tanks,Shooter,PC (Windows),Wargaming,Wargaming,2011-04-12,https://www.mmobomb.com/world-of-tanks,2011
12,1181,Tarisland,https://www.mmobomb.com/g/1181/thumbnail.jpg,"If you're looking for an MMORPG that sticks to the tried-and-true structure, Tarisland may be worth checking out.",https://www.mmobomb.com/open/tarisland,MMORPG,PC (Windows),Tencent,Level Infinite,2024-06-21,https://www.mmobomb.com/tarisland,2024
13,1118,Diablo Immortal,https://www.mmobomb.com/g/1118/thumbnail.jpg,Diablo Immortal is an all-new massively multiplayer online action RPG and Blizzard’s long advertised mobile Diablo experience (that totally was not coming to PC) comes to PC complete with all the demon slaying and looting you could want.,https://www.mmobomb.com/open/diablo-immortal,MMOARPG,PC (Windows),Activision Blizzard,Blizzard Entertainment,2022-06-02,https://www.mmobomb.com/diablo-immortal,2022
14,1180,XDefiant,https://www.mmobomb.com/g/1180/thumbnail.jpg,Ubisoft enters the arena shooter space with a free-to-pay 6v6 first-person competition.,https://www.mmobomb.com/open/xdefiant,Shooter,PC (Windows),Ubisoft,Ubisoft,2024-05-21,https://www.mmobomb.com/xdefiant,2024
15,1170,THE FINALS,https://www.mmobomb.com/g/1170/thumbnail.jpg,"The world is watching and if you want to gain fans, you'll need to do more than just shoot your way to victory.",https://www.mmobomb.com/open/the-finals,Shooter,PC (Windows),Embark Studios,Embark Studios,2023-12-07,https://www.mmobomb.com/the-finals,2023
16,1173,Titan Revenge,https://www.mmobomb.com/g/1173/thumbnail.jpg,Become an Angel or a Titan and smash your way to epic loot that ALWAYS has a benefit.,https://www.mmobomb.com/open/titan-revenge,MMORPG,Web Browser,Game Hollywood Games,Game Hollywood Games,2023-12-20,https://www.mmobomb.com/titan-revenge,2023
17,1160,Palia,https://www.mmobomb.com/g/1160/thumbnail.jpg,"Get your cozy MMO on as you work to build your house, collect bugs, fish, and help out friends.",https://www.mmobomb.com/open/palia,MMORPG,PC (Windows),Singularity Six,Singularity Six,2023-08-10,https://www.mmobomb.com/palia,2023
18,475,Genshin Impact,https://www.mmobomb.com/g/475/thumbnail.jpg,"Explore a bright and fantastical anime-styled world in miHoYo's free-to-play online RPG Genshin Impact. Assemble your crew of adventurers and shift between them on the fly, as you journey across the world of Teyvat and fight monsters, solve puzzles, and help the townsfolk.",https://www.mmobomb.com/open/genshin-impact,Action RPG,PC (Windows),miHoYo,miHoYo,2020-09-28,https://www.mmobomb.com/genshin-impact,2020
19,458,League of Angels - Heaven's Fury,https://www.mmobomb.com/g/458/thumbnail.jpg,"Embark on an epic quest to save world in League of Angels - Heaven's Fury, the latest entry in the free-to-play browser-based MMORPG franchise. Play as a mighty Dragoon, the enigmatic Mage, or deadly Archer and recruit your team of angels from the sides of light and darkness to fight against demonic beasts and their vile masters in a gorgeously rendered fantasy world.",https://www.mmobomb.com/open/league-of-angels-heavens-fury,MMORPG,Web Browser,Gtarcade,Yoozoo Games,2020-01-09,https://www.mmobomb.com/league-of-angels-heavens-fury,2020
20,21,Destiny 2,https://www.mmobomb.com/g/21/thumbnail.jpg,"Embark on a heroic quest to save humanity in Bungie's epic sci-fi MMO shooter Destiny 2, now free-to-play. Experience a wealth of content as a stalwart Titan, mysterious Warlock, or crafty Hunter, battling the enemies of humanity across the solar system.",https://www.mmobomb.com/open/destiny-2,Shooter,PC (Windows),Bungie,Bungie,2019-10-01,https://www.mmobomb.com/destiny-2,2019
21,1140,Battle Arena,https://www.mmobomb.com/g/1140/thumbnail.jpg,Battle in PvP real time slap fights in a MOBA with some RPG elements.,https://www.mmobomb.com/open/battle-arena,Strategy,Web Browser,eSpirit Games,eSpirit Games,2017-12-05,https://www.mmobomb.com/battle-arena,2017
22,12,War Thunder,https://www.mmobomb.com/g/12/thumbnail.jpg,"War Thunder is an MMO combat game dedicated to World War II military aviation, armored vehicles, and fleets. In War Thunder, players can pilot a multitude of aircraft from a variety of nations including the U.S, Germany, Soviet Union, Japan and more.",https://www.mmobomb.com/open/war-thunder,Shooter,PC (Windows),Gaijin Entertainment,Gaijin Entertainment,2013-08-15,https://www.mmobomb.com/war-thunder,2013
23,1125,Tower of Fantasy,https://www.mmobomb.com/g/1125/thumbnail.jpg,"Tower of Fantasy brings the MMORPG experience to PC and mobile with a F2P, splashy, anime-esque style.",https://www.mmobomb.com/open/tower-of-fantasy,MMORPG,PC (Windows),Level Infinite,Hotta Studio,2022-08-10,https://www.mmobomb.com/tower-of-fantasy,2022
